athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_d339ab06aa31,Daniela,Herrero Miralles,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Goalkeeper GK,Goalkeeper,Sr.,Sr,"Madrid, Spain",Madrid,,international,Brains International School,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_dc2be94a5734,Madilyn,Nim,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Goalkeeper,Goalkeeper,Fr.,Fr,Fr. Nursing,Fr. Nursing,,international,,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_3dd7e451a9e5,Avery,Reyes,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Goalkeeper,Goalkeeper,Jr.,Jr,"Lakewood, Calif.",Lakewood,CA,domestic,Long Beach Millikan,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_9ff4248d5173,Kayla,Tweed,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Goalkeeper,Goalkeeper,Jr.,Jr,"Temecula, Calif.",Temecula,CA,domestic,Temecula Valley HS,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_63b7187b406f,Evelyne,Prado,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Attacker Attacker,Attacker,Jr.,Jr,"Visalia, Calif.",Visalia,CA,domestic,El Diamante HS,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_15c4fec9a91f,Sofia,Vetuli,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Attacker,Attacker,Fr.,Fr,"Milan, Italy",Milan,,international,Liceo Linguistico Alessandro Manzoni,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_66a3aad25257,Jaeden,Johnson,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Center Defender Center Defender,Center,Sr.,Sr,"Corona, Calif.",Corona,CA,domestic,Corona HS / Riverside City College,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_69e41d7a0eac,Audrey,Dexter,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Attacker Attacker,Attacker,Jr.,Jr,"Kaneohe, Haw.",Kaneohe,,international,Iolani School,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_33cfa9f0f902,Kohia,Rego,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Center Defender Center Defender,Center,Jr.,Jr,"Honolulu, Hawaii",Honolulu,HI,domestic,Kamehameha Schools / Cal State East Bay,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_decf9a89442d,Annabelle,Gould,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Center Defender,Center,Fr.,Fr,"Placerville, Calif.",Placerville,CA,domestic,El Dorado HS,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_712293bee82f,Kori,Cunningham,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Attacker,Attacker,Jr.,Jr,"Rancho Cucamonga, Calif.",Rancho Cucamonga,CA,domestic,Rancho Cucamonga HS,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
wp_566d46594ca2,Bailey,Hollick,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Azusa Pacific,Center,Center,Jr.,Jr,"Auckland, New Zealand",Auckland,,international,Western Springs College,0,https://athletics.apu.edu/sports/womens-water-polo/roster/2026
